Date,SNP500_Open,SNP500_Close,SNP500_Returns,VIX_Open,MA_20,MA_50,RSI,MACD_Hist,Target,nyt_vader_sentiment,nyt_swn_compound,wp_vader_sentiment,wp_swn_compound,wsj_vader_sentiment,wsj_swn_compound,Trump_vader_sentiment,Trump_Patriotic_Messaging,Trump_Immigration_Media,Trump_Policy_Trade,Trump_Foreign_Affairs,Trump_Elections_Fake_News,Trump_Security_Foreign_Influence,Trump_Domestic_Events_Disaster,Trump_State_Politics_Crime,Trump_International_Economy,Trump_Elections_Taxes,trend_macd,volatility_atr,momentum_stoch_rsi,volume_obv,trend_ichimoku_base,returns_tomorrow
2017-01-09,2273.590087890625,2268.89990234375,-0.0035485942758867,11.710000038146973,2261.7579956054688,2207.459384765625,54.91417721126342,-1.9931652471158117,0,0.0044624999999999,0.0107680224867724,-0.0585666666666666,-0.0071245421245421,0.1121954545454545,0.0187904691861486,-0.4822,0.0010660426,0.99040574,0.0010660407,0.0010660478,0.0010660621,0.0010659526,0.0010659297,0.0010659874,0.0010660219,0.0010661389,0.2784520171519773,0.0,0.0,116352100.0,197.19929532993797,0.0
2017-01-10,2269.719970703125,2268.89990234375,0.0,11.59000015258789,2262.2264892578123,2210.17658203125,53.0123375258908,-2.0543765671793963,1,-0.1429294117647059,0.0170548711909006,0.0216083333333333,0.0203000992063492,0.1049781818181818,0.0155383303633461,0.9169,0.9734877,0.0029458676,0.0029457137,0.0029454837,0.0029456401,0.0029458825,0.002946012,0.0029457328,0.0029458646,0.0029461125,0.2942707714871915,0.0,0.0,180124000.0,197.19929532993797,0.0028296382793233
2017-01-11,2268.60009765625,2275.320068359375,0.0028296382793233,11.5600004196167,2263.144494628906,2213.15478515625,52.19402522224519,-1.7270080675725978,0,-0.04426875,0.0184523809523809,-0.0658695652173913,0.0069573844030365,0.0915552083333333,0.0189924119366722,0.9058,0.0012673325,0.0012675098,0.0012673425,0.0012672534,0.0012672973,0.0012671808,0.0012671441,0.001267292,0.0012672639,0.98859435,0.3478966162855101,0.0,0.0,254774000.0,197.19929532993797,-0.0021448089967596
2017-01-12,2271.139892578125,2270.43994140625,-0.0021448089967596,11.479999542236328,2263.0804931640623,2216.0405859375,52.54796127619214,-1.890468559735769,1,-0.1485794871794871,-0.0086538461538461,0.0365842105263157,0.0174185463659147,0.0129478632478632,0.0083094793910117,0.8671,0.001961942,0.0019620256,0.0019617847,0.001961638,0.0019618312,0.0019617062,0.88949245,0.0019619495,0.0019618033,0.09481288,0.346238208262946,0.0,0.0,182660800.0,197.19929532993797,0.0018498402425362
2017-01-13,2272.739990234375,2274.639892578125,0.0018498402425362,11.449999809265137,2264.148486328125,2219.298984375,56.62787699281062,-1.7692241524280163,0,0.097325,0.0220407196969696,0.1122249999999999,0.0314799783549783,0.0686186274509804,0.0155269532974242,0.7237,0.0011377513,0.9897609,0.0011376971,0.0011375931,0.0011376855,0.0011376061,0.0011375669,0.0011377148,0.0011376739,0.001137819,0.3772202116900871,0.0,0.0,245378700.0,197.19929532993797,-0.002967502689997
2017-01-17,2269.139892578125,2267.889892578125,-0.002967502689997,12.199999809265137,2264.4414794921877,2222.6979833984374,51.91367549223613,-2.1706559449465157,1,0.0437756097560975,0.0115406020131629,0.1285684210526315,0.0361894319131161,0.1176065217391304,0.0119276006180777,-0.3938,0.0011511616,0.9896406,0.0011510164,0.001150916,0.0011510183,0.0011509409,0.0011510571,0.0011511181,0.0011510241,0.0011511731,0.3414583070259596,1.2584126030151537,0.0,184137900.0,197.19929532993797,0.0017637540575008
2017-01-18,2269.139892578125,2271.889892578125,0.0017637540575008,11.789999961853027,2265.132470703125,2226.3625830078126,51.4194138139853,-2.187660085680397,0,0.095176923076923,-0.0022970085470085,0.0026470588235294,0.0230348389355742,0.0984954248366013,0.0138671910213789,0.9901,0.0009274085,0.0009274457,0.00092738075,0.00092743913,0.0009274386,0.00092738995,0.0009274293,0.0009273596,0.00092738745,0.9916533,0.3443817954991743,1.211167152629685,0.0,238931200.0,197.19929532993797,-0.0036093083554193
2017-01-19,2271.89990234375,2263.68994140625,-0.0036093083554193,12.579999923706056,2265.190466308594,2229.932783203125,57.22683778118321,-2.736407299346346,1,0.04134,0.0170705782312925,-0.0523055555555555,-0.0048087522045855,0.1075715189873417,0.0113195857540004,0.9855,0.0015401263,0.0015400458,0.0015401168,0.001539938,0.0015400985,0.0015399898,0.001539958,0.0015400912,0.0015400406,0.9861396,0.2842368942674795,1.2289013557528397,0.0,172322400.0,197.19929532993797,0.0033662371547078
2017-01-20,2269.9599609375,2271.31005859375,0.0033662371547078,12.579999923706056,2265.21796875,2232.728583984375,60.7845057136375,-2.573837903964108,0,0.0432482758620689,0.0031814449917898,0.21033,-0.0149206349206349,0.0682490909090909,0.0051688802784267,0.9874,0.99080914,0.0010212468,0.0010212224,0.0010212265,0.0010212751,0.001021134,0.0010211058,0.0010211987,0.001021177,0.0010212535,0.2916926401114779,1.228265097021256,0.0,301491000.0,197.19929532993797,-0.0026901247580694
2017-01-23,2267.780029296875,2265.199951171875,-0.0026901247580694,12.300000190734863,2265.2189697265626,2235.2413818359373,63.46632887909217,-2.8443157559076244,1,-0.1169781249999999,0.0016183035714285,0.0396142857142857,0.0034110235003092,0.009135294117647,0.0121817966750988,0.4939,0.0066736974,0.83078647,0.006673872,0.006673801,0.0066737584,0.0066738897,0.11582392,0.0066730776,0.006673433,0.006674062,0.2531102902288182,1.2399228385048158,0.0358818890588705,226429400.0,197.19929532993797,0.0065645936376641
2017-01-24,2267.8798828125,2280.070068359375,0.0065645936376641,11.81999969482422,2266.1744750976563,2237.5775830078123,61.85746827204686,-2.0266486451196517,1,-0.026076923076923,-0.0096268315018315,-0.0097079999999999,0.0316329365079365,0.1933422018348624,0.0203351568725768,0.9553,0.0010654869,0.99041086,0.0010654773,0.001065411,0.0010655815,0.0010654228,0.0010653675,0.0010654071,0.0010654303,0.0010655188,0.3210065159240116,1.2844695335130545,0.2464871818903057,321984700.0,197.34337084563097,0.0080260905496174
2017-01-25,2288.8798828125,2298.3701171875,0.0080260905496174,10.789999961853027,2267.9034790039063,2240.1953857421877,63.926955254307394,-0.3463074470706733,0,0.0136681818181818,-0.005475514069264,0.0388771428571428,0.0134948979591836,0.1153539130434782,0.0141737436818994,-0.5108,0.0011634325,0.0011634781,0.0011634445,0.0011633106,0.0011634,0.0011633714,0.7203596,0.0011634572,0.001163366,0.27033314,0.5077818758513786,1.3280608492047177,0.507171885031999,406422400.0,197.99397734293893,-0.0007353844075136
2017-01-26,2298.6298828125,2296.679931640625,-0.0007353844075136,10.609999656677246,2269.2934814453124,2242.8399853515625,63.96553975320078,0.5117141416077153,0,0.0705405405405405,0.016023166023166,-0.0186857142857142,0.0167942176870748,0.1234083969465648,0.0112209014332624,-0.9269,0.0016141564,0.4597525,0.0016142162,0.52733463,0.0016141293,0.0016139989,0.0016139527,0.0016141234,0.0016140637,0.0016142376,0.6316057003374169,1.2563852807579647,0.4563486786710553,346451700.0,198.05508201760773,-0.0008664638929263
